Rede,Nome Fantasia,Logradouro,Bairro,Cep,Uf,Municipio,Cnpj,Aberta,Latitude,Longitude
Casas Bahia,Poços De Caldas,"Avenida Francisco Salles, 587",Centro,37701-013,MG,Poços De Caldas,33041260135841,Sim,-21.7857731,-46.5639689
Casas Bahia,Casas Bahia - Botucatu 2,"Rua Amando De Barros, 567",Centro,18600-050,SP,Botucatu,33041260072408,Não,-22.883651,-48.440344
Casas Bahia,Botucatu,"Rua Amando De Barros, 490",Centro,18600-050,SP,Botucatu,33041260113520,Sim,-22.883651,-48.440344
Casas Bahia,Porto Ferreira 2,"Praça Cornelio Procopio, 152",Centro,13660-015,SP,Porto Ferreira,33041260166305,Sim,-21.853463,-47.4793643
Casas Bahia,São Jose Do Rio Pardo,"Rua Francisquinho Dias, 500",Centro,13720-000,SP,São José Do Rio Pardo,33041260167883,Sim,-21.641147,-46.864046
Casas Bahia,São Carlos 2,"Avenida São Carlos, 1292",Centro,13560-001,SP,São Carlos,33041260153661,Não,-22.02188,-47.890598
Casas Bahia,São Carlos,"Rua Episcopal, 1041",Nucleo S.Vilari,13560-570,SP,São Carlos,33041260122782,Sim,-22.019782,-47.891693
Casas Bahia,São Manuel,"Rua 15 De Novembro, 267",Centro,18650-000,SP,São Manuel,33041260177099,Sim,-22.70691,-48.518723
Casas Bahia,São Lourenço,"Avenida Dom Pedro Ii, 293",Centro,37470-000,MG,São Lourenço,33041260131005,Sim,-22.1155841,-45.0531215
Casas Bahia,Santa Rita Do Passa Quatro,"Avenida Severino Meireles, 1338",Centro,13670-000,SP,Santa Rita Do Passa Quatro,33041260178737,Sim,-21.686502,-47.488276
Casas Bahia,Itapeva,"Avenida Doutor José Ermirio De Moraes, 2454",Centro,18400-510,SP,Itapeva,33041260125536,Sim,-23.984563,-48.880984
Casas Bahia,Angra Dos Reis,"Avenida Padre Julio Maria, 206",Centro,23900-504,RJ,Angra Dos Reis,33041260192055,Sim,-23.0087214,-44.31751999999999
Casas Bahia,Barra Bonita 2,"Rua Major Pompeu, 364",Centro,17340-000,SP,Barra Bonita,33041260179202,Sim,-22.4884605,-48.5647392
Casas Bahia,Shopping Center Angra,"Rua José Elias Rabha, 280",Pq Palmeiras,23906-000,RJ,Angra Dos Reis,33041260078783,Não,-23.000947,-44.305649
Casas Bahia,Mococa 4  Fast Track,"Rua Barao De Monte Santo, 1062",Centro,13730-230,SP,Mococa,33041260170086,Sim,-21.467624,-46.9988
Casas Bahia,Avare,"Rua Pernambuco, 1355",Centro,18705-020,SP,Avaré,33041260113872,Sim,-23.098323,-48.923552
Casas Bahia,Jau,"Rua Edgard Ferraz, 473",Centro,17201-440,SP,Jaú,33041260113791,Sim,-22.2966452,-48.5574465
Casas Bahia,Alfenas,"Rua Conego José Carlos, 46",Centro,37130-071,MG,Alfenas,33041260185008,Sim,-21.4274167,-45.9475489
Casas Bahia,Resende,"Avenida Albino De Almeida, 195",Campos Eliseos,27542-080,RJ,Resende,33041260090562,Sim,-22.4648417,-44.4478258
Casas Bahia,Três Corações,"Avenida Presidente Getulio Vargas, 383",Centro,37410-137,MG,Três Corações,33041260135507,Sim,-21.6988057,-45.2557645
Casas Bahia,Lencois Paulista,"Rua Quinze De Novembro, 545",Vila Mamedina,18681-038,SP,Lençóis Paulista,33041260113600,Sim,-22.5981082,-48.79534959999999
Casas Bahia,Varginha,"Rua Doutor Wenceslau Braz, 60",Centro,37002-080,MG,Varginha,33041260133202,Sim,-21.5557063,-45.4370079
Casas Bahia,Guaxupe,"Avenida Doutor Joao Carlos, 33",Centro,37800-000,MG,Guaxupé,33041260182335,Sim,-21.3049394,-46.708459
Casas Bahia,Araraquara 2,"Rua Nove De Julho, 962",Centro,14801-295,SP,Araraquara,33041260072319,Não,-21.789476,-48.174985
