Rede,Nome Fantasia,Logradouro,Bairro,Cep,Ddd,Telefone,Uf,Municipio,Codigo Unidade,Cnpj,Latitude,Longitude
Yamaha,GERACAO - INGLESES,SRV TRES MARIAS  640,INGLESES DO RIO VERMELHO,88058-648,048,3298-0030,SC,FLORIANOPOLIS,418,08153200000510,-27.4386769,-48.4106688
Yamaha,GERACAO MOTOS,RUA CANDIDO RAMOS  110,CAPOEIRAS,88090-800,048,3240-8484,SC,FLORIANOPOLIS,508,08153200000196,-27.598586,-48.6024896
Yamaha,GERACAO MTS II,RUA CANDIDO RAMOS  110,CAPOEIRAS,88090-800,048,3240-8484,SC,FLORIANOPOLIS,91,08153200000196,-27.598586,-48.6024896
Yamaha,MOTO STORE - SUL DA ILHA,RODOVIA FRANCISCO MAGNO VIEIRA  619,RIO TAVARES,88048-000,048,3380-6000,SC,FLORIANOPOLIS,442,37592691000250,-27.6504496,-48.5205961
Yamaha,RC NAUTICA,RUA JOSE CANDIDO DA SILVA  105 - SALA 01 ,BALNEARIO,88075-250,048,3240-4731,SC,FLORIANOPOLIS,572,05743684000135,-27.5811353,-48.5798681
Yamaha,VIP MOTORS,AV. CENTENARIO  5845,PROSPERA,88811-701,048,3444-0004,SC,CRICIUMA,325,31110853000100,-28.6807007,-49.347315
Yamaha,MOTO CENTER - CONCORDIA,RUA DO COMERCIO  555,CENTRO,89700-089,049,3444-4001,SC,CONCORDIA,148,08527224000168,-27.2310184,-52.0258831
Yamaha,DE MARCO - CHAPECO,"RUA CRISTOVÃO COLOMBO, 69 E",BELA VISTA,89804250,049,3319-2400,SC,CHAPECÓ,237,16791325000170,-27.0772453,-52.6306439
Yamaha,HILTON MOTOS,RUA CAETANO COSTA  860,CENTRO,89460-098,047,3622-8088,SC,CANOINHAS,114,04052085000102,-26.1811671,-50.3877640
Yamaha,HEIL MOTOS E NAUTICA LTDA EPP,AV 1 DE MAIO  540/550 ,CENTRO,88353-201,047,3351-1679,SC,BRUSQUE,511,85159556000188,-27.1069357,-48.9149614
Yamaha,SEIKO MOTOR,RUA DAS MISSOES  1380,PONTA AGUDA,89051-001,047,3288-0888,SC,BLUMENAU,314,76625870000118,-26.902513,-49.062812
Yamaha,AMANTES DA MOTONAUTICA,RUA JOSE ANASTACIO TEIXEIRA  1336  SALA 01 E 02 ,VILA FLOR,88745-000,048,3622-0201,SC,CAPIVARIA DE BAIXO,453,10430342000103,-28.4412408,-48.9505159
Yamaha,DE VENTO EM POPA,RUA BRAS CUBAS  357 ,NOVA ESPERANCA,88336-325,047,3361-5534 ,SC,BALNEARIO CAMBORIU,493,97499008000186,-27.0113147,-48.6175493
Yamaha,DVR MOTOS,AV. DO ESTADO DALMO VIEIRA  451 - SALA 02,PIONEIROS,88331-150,047,3360-8661,SC,BALNEARIO CAMBORIU,265,21578639000129,-26.984653,-48.639801
Yamaha,JETCO COMERCIO DE ARTIGOS ESPORTIVOS LTDA EPP,RUA SAO PAULO  105,ESTADOS,88339-025,47,2125-6218,SC,BALNEARIO CAMBORIU,519,05523508000350,-26.9955974,-48.6480909
Yamaha,LEKO RACING,R ANTONIO MANOEL PAULINO  320,CIDADE ALTA,88901-020,048,3522-2282,SC,ARARANGUA,523,15271835000153,-28.9426459,-49.4923742
Yamaha,VIP MOTORS - ARARANGUA,AVENIDA SETE DE SETEMBRO  1430,CENTRO,88900-015,048,3431-7854,SC,ARARANGUA,393,31110853000290,-28.9374288,-49.347315
Yamaha,ORION COMERCIO ,AV. 25 DE AGOSTO  4697,CENTRO,76940-000,069,3442-9900,RO,ROLIM DE MOURA,560,06158747000159,-11.7375385,-61.7941232
Yamaha,ORION MOTONAUT.,AV. 25 DE AGOSTO  4697,CENTRO,76940-000,069,3442-9900,RO,ROLIM DE MOURA,221,06158747000159,-11.7375385,-61.7941232
Yamaha,BINGOOL -PORTO VELHO,RUA JOSE AMADOR DOS REIS  2698,JUSCELINO KUBITSCHEK,76829-422,069,99288-4004,RO,PORTO VELHO,338,06061275000707,-8.769900,-63.835953
Yamaha,BINGOOL MOTOS,AV. ROGERIO WEBER  1867 SALA 03 ,CENTRO,78916-050,069,3217-1706,RO,PORTO VELHO,462,06061275000111,-8.766841830959201,-63.90659575980687
Yamaha,BINGOOL MOTOS,AV. ROGERIO WEBER  1867 SALA 03,CENTRO,76801-030,069,3217-1706,RO,PORTO VELHO,22,06061275000111,-8.766841830959201,-63.90659575980687
Yamaha,PICA PAU MOTOS,AV. TRANSCONTINENTAL  1660,PRIMAVERA,76914-846,069,3416-3000,RO,JI-PARANA,39,02952164000144,-10.8732528,-61.9532054
Yamaha,PORTAL MOTOS JA,AV. DOM PEDRO I  2518,SETOR 05,76890-000,069,3521-2287,RO,JARU,209,11413185000182,-10.424726,-62.478284
Yamaha,AQUA FORCE,AV. TRANSCONTINENTAL  3435 ,JARDIM PRESIDENCIAL ,76901-007,069,3422-1477,RO,JI PARANA,456,09561463000105,-10.8670025,-61.9674351
Yamaha,PICA PAU CACOAL,AV. SETE DE SETEMBRO  2020,CENTRO,76964-006,069,3441-6000,RO,CACOAL,243,09601702000103,-11.4421188,-61.4450104
